Condition,TRP_Alpha_Entire_diff_FD,TRP_Alpha_Occipital_diff_FD,TRP_Alpha_PZ_diff_FD,TRP_Alpha_Parietal_diff_FD,TRP_Beta_Entire_diff_FD,TRP_Theta_Entire_diff_FD,TRP_Theta_Frontal_diff_FD,TRP_log(Theta/Alpha)_diff_FD,TRP_log(Theta_Fz/Alpha_Pz)_diff_FD
CAD,NoChange,NoChange,ERS,ERS,NoChange,ERD,ERD,ERD,ERD
PP,ERD,NoChange,ERD,ERD,NoChange,ERD,ERD,ERS,ERS
CAD,NoChange,NoChange,NoChange,NoChange,ERD,ERD,ERD,ERD,ERD
PP,ERD,ERD,ERD,ERD,ERD,ERD,ERD,NoChange,ERS
CAD,ERD,ERD,ERD,ERD,NoChange,ERD,ERD,ERD,ERS
PP,ERD,ERD,ERD,ERD,ERD,ERD,ERD,NoChange,NoChange
CAD,ERD,ERD,ERD,ERD,ERD,ERD,ERD,ERD,NoChange
PP,NoChange,ERS,ERS,NoChange,ERS,ERS,NoChange,ERS,ERD
CAD,ERD,ERD,NoChange,ERD,ERD,ERD,ERD,ERD,ERD
PP,ERD,NoChange,NoChange,NoChange,ERD,ERD,ERD,NoChange,ERD
CAD,NoChange,ERD,ERD,NoChange,NoChange,ERD,NoChange,ERD,NoChange
PP,ERD,NoChange,ERD,ERD,NoChange,ERD,ERD,ERD,ERS
CAD,NoChange,NoChange,ERS,NoChange,ERS,NoChange,NoChange,ERD,NoChange
PP,ERD,NoChange,ERD,NoChange,NoChange,ERD,ERD,NoChange,NoChange
CAD,NoChange,NoChange,ERS,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange
PP,ERD,ERS,ERS,NoChange,ERD,ERD,ERD,ERD,ERD
CAD,ERS,ERS,ERS,ERS,ERD,ERD,ERD,ERD,ERD
PP,NoChange,ERS,NoChange,NoChange,NoChange,NoChange,ERD,NoChange,ERS
CAD,ERD,ERS,ERD,ERD,NoChange,ERD,ERD,NoChange,NoChange
PP,NoChange,ERS,ERD,NoChange,ERS,ERD,ERD,ERD,NoChange
CAD,ERS,ERS,ERS,ERS,NoChange,ERS,ERS,ERD,ERD
PP,ERD,ERD,ERS,ERS,ERD,ERD,ERD,ERD,ERD
CAD,ERS,ERS,NoChange,ERS,ERD,ERS,ERS,ERS,ERS
PP,ERD,NoChange,ERS,ERS,ERD,ERD,ERD,NoChange,ERD
CAD,NoChange,ERD,NoChange,NoChange,NoChange,NoChange,NoChange,ERD,ERS
PP,NoChange,ERS,ERD,ERD,ERS,NoChange,NoChange,NoChange,ERS
CAD,ERS,ERS,NoChange,NoChange,ERS,NoChange,NoChange,ERD,NoChange
PP,ERS,ERS,ERS,ERS,ERS,ERS,NoChange,ERD,ERD
CAD,NoChange,NoChange,ERS,ERS,NoChange,NoChange,ERS,NoChange,ERD
PP,ERD,ERS,NoChange,NoChange,ERD,ERD,ERD,ERD,ERD
CAD,ERD,NoChange,ERS,NoChange,ERD,ERD,ERD,ERD,NoChange
PP,ERD,ERD,ERD,ERD,ERD,NoChange,NoChange,ERS,ERS
CAD,NoChange,NoChange,NoChange,NoChange,ERD,NoChange,NoChange,NoChange,ERS
PP,ERD,ERD,ERD,ERD,NoChange,ERD,ERD,ERD,ERS
CAD,NoChange,ERS,ERD,ERD,ERS,ERD,ERD,ERD,ERS
PP,NoChange,ERS,ERS,ERS,ERS,ERD,ERD,ERD,ERD
CAD,NoChange,ERD,ERD,NoChange,ERD,ERD,ERD,ERD,ERS
PP,ERD,ERS,ERD,ERD,ERS,ERD,ERD,NoChange,ERS
CAD,NoChange,NoChange,NoChange,ERS,NoChange,ERD,NoChange,ERD,ERD
PP,ERD,NoChange,NoChange,ERD,ERD,NoChange,NoChange,ERS,NoChange
CAD,ERD,ERD,ERD,ERD,ERD,ERD,ERD,ERD,NoChange
PP,ERD,ERD,ERD,ERD,ERD,ERD,ERD,ERD,NoChange
CAD,ERD,ERD,NoChange,ERD,ERD,NoChange,NoChange,ERS,NoChange
PP,ERD,ERS,ERD,NoChange,ERD,ERD,ERD,ERD,ERS
CAD,ERS,NoChange,NoChange,ERS,NoChange,ERS,ERS,ERS,ERS
PP,ERD,ERD,ERD,NoChange,ERD,ERD,ERD,NoChange,ERD
CAD,ERS,NoChange,NoChange,ERS,ERS,ERS,NoChange,ERD,ERS
PP,ERD,NoChange,ERD,ERD,ERD,ERD,ERD,ERD,NoChange
CAD,NoChange,ERS,NoChange,ERS,NoChange,NoChange,NoChange,NoChange,NoChange
PP,ERD,ERD,NoChange,ERD,ERD,ERD,ERD,ERD,NoChange
CAD,NoChange,ERD,ERS,NoChange,NoChange,ERD,ERD,ERD,ERD
PP,NoChange,ERS,NoChange,NoChange,NoChange,NoChange,NoChange,ERD,ERS
CAD,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,ERD,NoChange,NoChange
PP,ERD,ERD,ERD,ERD,ERD,ERD,ERD,ERS,ERS
CAD,ERD,ERD,ERD,ERD,ERS,ERD,ERD,NoChange,ERS
PP,NoChange,NoChange,NoChange,ERS,ERS,ERD,NoChange,ERD,ERD
