Participant,Tool,Task,Ideas,Semantic,Flex,Original,DEMO_1,DEMO_1_6_TEXT,DEMO_2,DEMO_3,DEMO_4,DEMO_4_2_TEXT,DEMO_5,DEMO_6,DEMO_6_3_TEXT,CAD_1,CAD_2,CAD_3,CAD_3_8_TEXT,CAD_4,CAD_5,CAD_5_4_TEXT,PP_1,PP_2,PP_3,PP_4,PP_4_4_TEXT,VISION_1,VISION_1_1_TEXT,NASA_1,NASA_2,NASA_3,NASA_4,NASA_5,NASA_6
PTP01,PP,Cabinet,17,0.894958824,12,0.105580694,6,PhD,2,29,1,NA,2,3,Product design,2,3,"1,2,4",NA,3,"1,3",NA,2,4,3,"1,3",NA,2,NA,11,4,4,14,8,12
PTP01,CAD,Bed,13,0.790295385,12,0.120315582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6,6,11,13,11
PTP02,PP,Cabinet,26,0.874903077,18,0.098619329,6,graduated,2,25,1,NA,1,3,mechanical design,2,4,"2,4,6,7,8",Siemens NX,4,"1,2,3",NA,2,2,4,1,NA,2,NA,12,12,16,19,10,2
PTP02,CAD,Bed,10,0.801478,6,0.123076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,10,16,16,8,4
PTP03,PP,Cabinet,6,0.837133333,4,0.226495727,2,NA,2,21,2,Mandarine,2,3,UofT Aerospace Design Team,2,2,"1,4",NA,1,"1,3",NA,1,1,1,1,NA,2,NA,10,4,1,16,12,14
PTP03,CAD,Bed,3,0.793253333,3,0.282051282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,8,16,6,12,15
PTP04,PP,Cabinet,8,0.88500375,8,0.096153846,1,NA,2,18,2,Mandarin,1,2,NA,1,1,"1,2,8",FreeCAD,2,3,NA,2,2,2,3,NA,2,NA,16,8,13,17,15,9
PTP04,CAD,Bed,3,0.86658,2,0.025641026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,12,18,10,17,18
PTP05,PP,Bed,18,0.891852222,17,0.034188034,1,NA,2,19,1,NA,1,3,Aircraft design,2,3,"1,4",NA,1,"1,3",NA,2,2,1,3,NA,2,NA,10,0,14,10,16,4
PTP05,CAD,Cabinet,7,0.89609,6,0.025641026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,14,5,16,10
PTP06,PP,Bed,9,0.771212222,9,0.076923077,1,NA,1,18,1,NA,1,2,NA,1,2,"1,2,4",NA,2,1,NA,1,1,2,3,NA,2,NA,12,2,3,8,12,13
PTP06,CAD,Cabinet,7,0.824537143,7,0.051282051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,6,5,8,12
